"id","condition","startTime","endTime","gender","age","education","takenGRE","familiarity","ethnicity","preference","difficulty","improvement","why","thoughts","q1ai1","q1ai2","q2ai1","q2ai2","ai1_concepts","ai2_concepts","ai1_correct","ai2_correct","ai1_friendly","ai2_friendly","ai1_trust","ai2_trust","ai1_relevant","ai2_relevant","ai1_correct1","ai1_correct2","ai2_correct1","ai2_correct2","order","ai_diff_concepts","ai_diff_correct","ai_diff_friendly","ai_diff_trust","ai_diff_relevant","preference_2","ai1_correct_cnt","ai2_correct_cnt","mary_correct_cnt","james_correct_cnt"
"160d84aa42f2894a5b1850c7010e1be6","['Mary', 'James']","15:08:57 GMT-0500 (Eastern Standard Time)","15:27:09 GMT-0500 (Eastern Standard Time)","0","31-35","7","0","4","White","Equal","Mary","Equal","It was kind of hard to compare since they both covered different topics, but I felt both delivered the same quality of explanation.","I don't have any particular thoughts.",1,2,2,4,6,6,7,7,6,6,5,6,7,7,1,3,2,4,1,0,0,0,-1,0,"Equal",1,2,1,1
"1d6e423829ba87ef9bef803a22149ee1","['James', 'Mary']","19:44:59 GMT-0500 (Eastern Standard Time)","19:48:39 GMT-0500 (Eastern Standard Time)","0","31-35","2","0","1","White","Mary","James","James","","",3,2,2,4,3,6,5,6,5,6,5,6,5,4,1,3,2,4,0,3,1,1,1,-1,"Mary",0,2,2,2
"1d6e423829ba87ef9bef803a223c3a16","['James', 'Mary']","22:25:01 GMT-0500 (Eastern Standard Time)","22:26:33 GMT-0500 (Eastern Standard Time)","1","26-30","8","1","2","White","Mary","Mary","Mary","","",3,3,2,3,6,6,6,6,4,5,6,6,6,5,1,3,2,4,0,0,0,1,0,-1,"Mary",0,0,0,0
"2e74fec63a39d242ac7e6b61d40fdc7f","['James', 'Mary']","12:47:01 GMT-0600 (Central Standard Time)","12:50:47 GMT-0600 (Central Standard Time)","1","21-25","7","1","3","Black","Mary","James","James","","",4,5,2,2,2,6,4,7,6,7,5,7,5,6,1,3,2,4,0,4,3,1,2,1,"Mary",0,0,0,0
"38b3a8411ea2b0e40b0ae54720ff8128","['Mary', 'James']","19:41:16 GMT-0600 (Central Standard Time)","19:55:49 GMT-0600 (Central Standard Time)","0","21-25","7","0","3","Black","Mary","James","James","","I'd like to point out that math isn't my strong suit but it felt like when I was given questions for James, I felt like I wasn't taught some of that information.",4,1,2,2,5,4,5,6,7,7,7,6,7,5,1,3,2,4,1,1,-1,0,1,2,"Mary",0,0,0,0
"40f21f4fda553aacfc1606710f308dcc","['Mary', 'James']","22:17:50 GMT-0600 (Central Standard Time)","22:25:06 GMT-0600 (Central Standard Time)","1","36-40","4","0","5","White","Mary","Mary","James","I don't feel like he explained everything that was asked","",1,5,5,2,5,6,6,2,5,6,5,6,7,5,1,3,2,4,1,-1,4,-1,-1,2,"Mary",1,0,1,1
"40f21f4fda553aacfc1606710f352d6c","['Mary', 'James']","12:17:09 GMT+0800 (Singapore Standard Time)","12:46:12 GMT+0800 (Singapore Standard Time)","0","26-30","7","0","3","White","Equal","Equal","Equal","","",2,1,3,4,5,4,4,4,4,4,4,4,5,5,1,3,2,4,1,1,0,0,0,0,"Equal",1,1,1,1
"4595b2e283297b684acc1193f6afe38f","['Mary', 'James']","15:07:02 GMT-0500 (Eastern Standard Time)","15:17:37 GMT-0500 (Eastern Standard Time)","0","36-40","3","0","2","White","Mary","Equal","James","","",1,1,3,2,6,3,7,4,6,5,5,4,7,4,1,3,2,4,1,3,3,1,1,3,"Mary",2,0,2,2
"4595b2e283297b684acc1193f6fe5ab6","['James', 'Mary']","19:13:07 GMT-0500 (Eastern Standard Time)","19:18:37 GMT-0500 (Eastern Standard Time)","1","26-30","3","0","3","Black","James","James","Mary","Mary's answers were outright wrong in some places.","I hate math.",2,1,2,2,5,5,6,1,4,4,7,2,7,4,1,3,2,4,0,0,-5,0,-5,-3,"James",0,0,0,0
"51a9053f7add2c0258d202301f038aca","['James', 'Mary']","15:29:06 GMT-0500 (Eastern Standard Time)","15:36:38 GMT-0500 (Eastern Standard Time)","0","21-25","9","1","5","White","James","James","Mary","I didn't think her explanations made much sense","",1,1,3,2,5,3,7,5,4,2,5,4,7,6,1,3,2,4,0,-2,-2,-2,-1,-1,"James",2,0,0,0
"51a9053f7add2c0258d202301f36a680","['James', 'Mary']","17:27:47 GMT-0500 (Eastern Standard Time)","18:05:34 GMT-0500 (Eastern Standard Time)","1","21-25","9","0","4","Asian","Equal","Equal","Equal","","",1,5,3,2,7,6,7,7,6,6,7,7,7,7,1,3,2,4,0,-1,0,0,0,0,"Equal",2,0,0,0
"51a9053f7add2c0258d202301f5690a6","['James', 'Mary']","19:42:47 GMT-0500 (Eastern Standard Time)","19:54:33 GMT-0500 (Eastern Standard Time)","0","36-40","7","0","1","White","James","James","Equal","","",3,1,3,2,4,2,4,2,3,4,4,3,5,4,1,3,2,4,0,-2,-2,1,-1,-1,"James",1,0,0,0
"51a9053f7add2c0258d202301f7b1134","['James', 'Mary']","22:21:14 GMT-0500 (Eastern Standard Time)","22:27:19 GMT-0500 (Eastern Standard Time)","1","31-35","7","0","5","White","James","James","Mary","I felt like her expanations relied on previous knowledge of the subject, while James gave a fuller explanation. ","",1,5,3,2,5,5,7,7,7,7,7,7,7,6,1,3,2,4,0,0,0,0,0,-1,"James",2,0,0,0
"51a9053f7add2c0258d202301f7f771a","['Mary', 'James']","21:39:33 GMT-0600 (Central Standard Time)","21:45:51 GMT-0600 (Central Standard Time)","1","31-35","7","1","6","White","Equal","Equal","Equal","Both of them needed some simple, step by step guidelines instead of just jumping to the answer- and both needed to explain that the questions weren't straightforward and why.","",3,1,2,2,5,5,4,6,6,6,5,5,4,5,1,3,2,4,1,0,-2,0,0,-1,"Equal",0,0,0,0
"51a9053f7add2c0258d202301f7fd4ac","['Mary', 'James']","22:28:00 GMT-0500 (Eastern Standard Time)","22:47:30 GMT-0500 (Eastern Standard Time)","1","36-40","7","1","4","White","Mary","Mary","James","I didn't really feel like I got an explanation as to why I worked the numbers the way I did, especially for the ratios (for example, why did I multiply each of the values by 2?). ","I think the concept is good, but there will need to be an option for people to ask for additional explanations or more information. ",1,2,2,2,7,2,3,3,7,5,5,3,7,4,1,3,2,4,1,5,0,2,2,3,"Mary",1,1,1,1
"6ced8a6f6e99aa6b0546deac41ce58db","['Mary', 'James']","11:03:52 GMT-0800 (Pacific Standard Time)","11:12:45 GMT-0800 (Pacific Standard Time)","0","31-35","7","0","5","White","Equal","Mary","Mary","I was less confident about the subject given Mary's explanations, but I also thought the material was harder, so it might not be her fault","Both tutors seemed similarly competent and useful",4,2,2,5,5,6,6,5,6,5,6,6,6,6,1,3,2,4,1,-1,1,1,0,0,"Equal",0,1,0,0
"725555d0c46dc9a8a763e05cd2151d4d","['James', 'Mary']","20:29:42 GMT-0500 (Eastern Standard Time)","20:38:19 GMT-0500 (Eastern Standard Time)","0","26-30","4","0","1","White","Equal","James","Equal","","",4,3,2,2,7,6,7,7,7,7,7,6,7,7,1,3,2,4,0,-1,0,0,-1,0,"Equal",0,0,0,0
"b1181f383e399813753da374a447cf93","['Mary', 'James']","14:14:35 GMT-0500 (Eastern Standard Time)","14:27:37 GMT-0500 (Eastern Standard Time)","0","41-45","4","0","4","White","Mary","Mary","Equal","I think they both did a stellar job.  Mary had the more difficult topic so I give her slightly more credence.","I enjoyed this experiment and thought both tutors were exceptional and that this was a well-designed task.  Thanks for the HIT!  I did my best and hope the data is useful!",1,2,1,4,7,6,6,7,7,7,7,6,7,7,1,3,2,4,1,1,-1,0,1,0,"Mary",1,2,1,1
"b1181f383e399813753da374a4482ccd","['James', 'Mary']","11:07:19 GMT-0800 (Pacific Standard Time)","11:27:42 GMT-0800 (Pacific Standard Time)","0","26-30","4","0","5","White","Equal","James","James","Just because he had a more complex topic.","",1,2,3,2,5,5,6,6,7,7,6,6,7,7,1,3,2,4,0,0,0,0,0,0,"Equal",2,1,1,1
"b15bdf06b2df7d18cc597055cfe84be2","['Mary', 'James']","11:28:58 GMT-0800 (Pacific Standard Time)","11:34:51 GMT-0800 (Pacific Standard Time)","1","61-70","7","0","4","White","Mary","Mary","James","I understood Mary","interesting",1,1,3,2,7,5,7,5,7,5,7,5,7,5,1,3,2,4,1,2,2,2,2,2,"Mary",2,0,2,2
"b77958fde354318095346d5418908c55","['Mary', 'James']","13:14:15 GMT-0700 (Mountain Standard Time)","13:24:11 GMT-0700 (Mountain Standard Time)","0","26-30","4","0","4","White","James","Mary","Mary","Even though I got more questions wrong with James I felt like I understood why I got them wrong. With Mary if I got a question right or wrong I wasn't 100% sure why that was.","Interesting experiment and it's always fun learning something new.",1,1,2,2,5,7,7,7,4,5,7,7,7,7,1,3,2,4,1,-2,0,-1,0,0,"James",1,0,1,1
"b77958fde354318095346d54189cff01","['Mary', 'James']","02:05:24 GMT+0530 (India Standard Time)","02:26:27 GMT+0530 (India Standard Time)","0","31-35","7","0","6","White","Mary","Mary","Mary","","",2,3,4,4,4,4,6,5,5,4,6,4,6,5,1,3,2,4,1,0,1,1,2,1,"Mary",0,1,0,0
"b77958fde354318095346d5418c4b214","['James', 'Mary']","04:03:58 GMT+0530 (India Standard Time)","04:17:51 GMT+0530 (India Standard Time)","0","26-30","7","0","5","White","Equal","James","Mary","","",4,4,3,1,7,7,6,7,7,7,7,6,6,7,1,3,2,4,0,0,1,0,-1,1,"Equal",1,0,0,0
"b77958fde354318095346d5418e5544c","['Mary', 'James']","19:21:11 GMT-0500 (Eastern Standard Time)","19:29:16 GMT-0500 (Eastern Standard Time)","0","21-25","7","0","7","White","Equal","James","Equal","Honestly, I was already pretty familiar with both of these concepts, so it's really hard for me to rate which one was better or worse because I felt like both of their explanations were pretty satisfactory, and it's hard for me to tell which explanation was worse because I kind of already knew the information anyway and so a poor explanation wouldn't have impacted my ability to answer the questions, if that makes sense.","It seemed pretty straight forward, but then again I was already familiar with the topics and how to solve the problems, so someone a bit more unfamiliar might have stronger opinions on which of the topics was better explained.",1,2,3,4,6,7,7,7,6,6,7,7,7,7,1,3,2,4,1,-1,0,0,0,0,"Equal",2,2,2,2
"b8d08f4b292284bbc004273e6c503c48","['James', 'Mary']","18:41:19 GMT-0700 (Mountain Standard Time)","18:53:21 GMT-0700 (Mountain Standard Time)","1","46-50","7","0","4","White","Equal","James","Equal","at times, I was asking questions to my screen.  i don't think with explained the concept very well.","",4,2,2,4,2,4,6,6,5,4,3,4,3,4,1,3,2,4,0,2,0,-1,1,1,"Equal",0,2,2,2
"b8d08f4b292284bbc004273e6c6909b4","['Mary', 'James']","22:17:12 GMT-0500 (Eastern Standard Time)","22:28:39 GMT-0500 (Eastern Standard Time)","1","31-35","6","0","2","White","Mary","James","James","I felt like it was just a little harder to understand. I think there was more steps that needed explaining","I enjoyed this. I felt like I was really taking a test and being quizzed.",4,3,3,2,6,4,7,7,7,6,7,6,7,7,1,3,2,4,1,2,0,1,1,0,"Mary",1,0,1,1
"c39f0a0df20a0e5a51f8b70336ab55a7","['Mary', 'James']","15:16:06 GMT-0500 (Eastern Standard Time)","15:26:23 GMT-0500 (Eastern Standard Time)","1","51-60","9","0","5","Black","Equal","Mary","Equal","I think they both explained very clearly.","",1,2,3,2,6,6,7,7,4,4,6,6,7,7,1,3,2,4,1,0,0,0,0,0,"Equal",2,1,2,2
"c39f0a0df20a0e5a51f8b70336b16ef6","['Mary', 'James']","15:30:54 GMT-0500 (Eastern Standard Time)","15:39:42 GMT-0500 (Eastern Standard Time)","1","36-40","3","0","1","White","Equal","Equal","Equal","","",1,2,3,4,7,7,7,7,7,7,7,7,7,7,1,3,2,4,1,0,0,0,0,0,"Equal",2,2,2,2
"c39f0a0df20a0e5a51f8b70336f5bbc9","['Mary', 'James']","19:10:49 GMT-0500 (Eastern Standard Time)","19:18:45 GMT-0500 (Eastern Standard Time)","0","26-30","7","0","7","Hisp","Equal","Equal","Equal","I don't think either needs more improvement in the explanations.","Embarrassed I got Tutor #2's 1st problem wrong. Kinda just blew through it because the first one was so easy that I didn't bother to read the whole problem. This is really material for graduate students? We did this in 7th grade",1,1,3,2,4,5,6,6,6,6,6,6,6,6,1,3,2,4,1,-1,0,0,0,0,"Equal",2,0,2,2
"cb9dc7911eb3cce4881d96b0029b0056","['Mary', 'James']","20:37:07 GMT-0700 (Mountain Standard Time)","20:47:22 GMT-0700 (Mountain Standard Time)","1","41-45","4","0","3","White","James","Mary","Mary","It was too advanced","That was kind of scary. lol",3,5,4,2,3,5,5,5,4,5,4,5,7,7,1,3,2,4,1,-2,0,-1,-1,0,"James",0,0,0,0
"cdbc20ea7ab729b5e0c167f5ac232f4c","['James', 'Mary']","23:17:22 GMT-0500 (Eastern Standard Time)","23:25:38 GMT-0500 (Eastern Standard Time)","1","36-40","3","0","3","White","Equal","James","Equal","","",1,2,2,2,3,4,6,6,5,6,5,6,5,5,1,3,2,4,0,1,0,1,1,0,"Equal",1,1,1,1
"f13447ca1e396a5ecf4b96f15c256305","['Mary', 'James']","22:29:13 GMT-0500 (Eastern Standard Time)","22:52:09 GMT-0500 (Eastern Standard Time)","1","51-60","6","0","3","White","James","Mary","Mary","not very clear in explanations","",3,4,3,3,1,3,1,3,3,3,3,3,4,4,1,3,2,4,1,-2,-2,0,0,0,"James",1,0,1,1
"fa6fdc202e955a81348b31b60ccc797d","['James', 'Mary']","16:08:22 GMT-0800 (Pacific Standard Time)","16:14:45 GMT-0800 (Pacific Standard Time)","0","26-30","3","0","4","White","James","Equal","Mary","The explanations felt too vague for my specific learning stlye.","With a little work I feel they'll be very effective.",3,1,5,2,5,3,6,6,6,6,7,7,5,6,1,3,2,4,0,-2,0,0,0,1,"James",0,0,0,0
